pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,light_total,electricity,kerosene,candle,lbattery,generator,water,solar,other
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,26777,102,11498,2020,3591,2220,6041,342
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,2728,128,9604,739,1426,2580,5506,149
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,47,1,164,1,4,3,64,1
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,1397,29,3487,467,1480,33,1615,20
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,1117,4,1261,6,8,653,8,249
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,152,8,232,2,32,531,11,105
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,11877,155,10618,1998,5662,668,8330,314
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,10817,33,7050,519,2600,418,3361,100
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,5346,60,7530,1129,16254,532,5567,214
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,9917,71,8280,595,1008,40,4183,67
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,3571,60,6678,761,1020,19,4366,146
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,3474,38,4368,171,339,457,3498,25
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,2645,80,4266,269,413,857,2020,4
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,982,20,4464,1933,133,617,2504,90
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,120,1,262,29,0,3,57,7
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,298,1,659,328,1,94,320,18
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,146,0,1289,39,1,69,2,165
