pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,trans_t,trans_car,trans_mcyc,trans_bicyc,trans_4wheel,trans_canoe,trans_mboat,trans_cart
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,3180,40715,23313,1057,1218,667,6994
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,545,14414,6696,632,337,236,6171
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,1,105,3,1,3,4,74
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,147,5309,2397,132,318,595,1686
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,225,1737,49,53,3,2,131
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,5,494,11,7,0,0,481
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,984,28691,23027,2797,625,357,15459
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,618,16992,14340,1454,416,206,9985
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,2450,27472,2510,560,268,199,3427
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,1052,18593,9234,2630,3529,2265,5974
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,457,12040,5641,685,3511,1520,7429
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,508,8647,3320,2673,559,125,3071
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,644,8661,2828,2004,68,29,2580
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,70,4135,1313,41,69,22,5123
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,3,215,43,15,1,1,233
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,7,505,107,6,31,13,1005
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,12,12,15,11,11,11,444
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,3,222,6,1,10,0,671
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,1375,18056,11166,2458,141,35,3323
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,15347,311,10148,5594,2076,88,25,3611
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5910,23,2074,491,471,2,1,1047
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1406,14,300,73,19,1,1,143
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,2081,43,1122,393,70,24,12,476
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,4733,115,2002,194,48,53,70,192
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,1302,25,721,96,87,,,32
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,89197,4281,39382,42304,4331,3935,2966,11963
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,53120,1553,18466,16160,3128,1274,1308,7801
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,19140,216,7386,634,38,2,1,650
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,6502,187,1777,2626,44,88,154,848
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,44016,3379,17134,12437,2974,55,173,2125
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,45498,1238,21214,19715,4664,2040,1897,10818
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,50568,1597,22581,14642,2883,1322,591,9176
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,9917,148,4459,223,41,5,9,1369
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,9782,82,2848,131,60,32,32,1716
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,9626,76,4895,452,24,11,12,314
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,14683,222,5306,1477,74,29,61,783
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,4941,30,1484,192,6,1,2,200
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,76,2384,130,11,0,2,773
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,51,3030,153,29,7,10,1650
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,33,1032,22,4,3,0,266
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,15,155,303,17,523,1100,511
