,Ward/VillageTract,tot_pop,male_pop,female_pop,Township,Longitude,Latitude
0,AyeYar(W),3647.0,1694.0,1953.0,Myitkyina Township,97.390355,25.387488
1,ThiDar(W),4143.0,2094.0,2049.0,Myitkyina Township,97.390355,25.387488
2,YanGyiAung(W),5309.0,2430.0,2879.0,Myitkyina Township,97.390355,25.387488
3,DuKaHtaung(W),8888.0,3845.0,5043.0,Myitkyina Township,97.390355,25.387488
4,MyoMa(W),1369.0,657.0,712.0,Myitkyina Township,97.390355,25.387488
5,MinYat(W),931.0,421.0,510.0,Myitkyina Township,97.390355,25.387488
6,ShanSu(North)(W),1418.0,674.0,744.0,Myitkyina Township,97.390355,25.387488
7,ShanSu(South)(W),1366.0,664.0,702.0,Myitkyina Township,97.390355,25.387488
8,KachinSu(W),2267.0,1024.0,1243.0,Myitkyina Township,97.390355,25.387488
9,KyunPinThar(W),6106.0,2786.0,3320.0,Myitkyina Township,97.390355,25.387488
10,AyeZayDi(W),5004.0,2321.0,2683.0,Myitkyina Township,97.390355,25.387488
11,ShweNyaungPin(W),9491.0,4277.0,5214.0,Myitkyina Township,97.390355,25.387488
12,MyoThit(W),2067.0,990.0,1077.0,Myitkyina Township,97.390355,25.387488
13,KhayMarThiRi(W),7630.0,3626.0,4004.0,Myitkyina Township,97.390355,25.387488
14,YuZaNa(W),6460.0,3023.0,3437.0,Myitkyina Township,97.390355,25.387488
15,MyayMyint(W),5660.0,2686.0,2974.0,Myitkyina Township,97.390355,25.387488
16,ShweSet(W),9409.0,4581.0,4828.0,Myitkyina Township,97.390355,25.387488
17,ManKhein(W),9223.0,4599.0,4624.0,Myitkyina Township,97.390355,25.387488
18,TatKone(W),27354.0,12773.0,14581.0,Myitkyina Township,97.390355,25.387488
19,SiTarPu(W),19969.0,9249.0,10720.0,Myitkyina Township,97.390355,25.387488
20,RamPu(W),26197.0,12311.0,13886.0,Myitkyina Township,97.390355,25.387488
21,KyetPaungChan(W),5234.0,2553.0,2681.0,Myitkyina Township,97.390355,25.387488
22,MyoThitGyi(W),23760.0,11576.0,12184.0,Myitkyina Township,97.390355,25.387488
23,LelKone(W),23413.0,11918.0,11495.0,Myitkyina Township,97.390355,25.387488
24,ShweAik(W),1418.0,770.0,648.0,Myitkyina Township,97.390355,25.387488
25,ShwePyiThar(W),1012.0,490.0,522.0,Myitkyina Township,97.390355,25.387488
26,PanMaTi(W),16954.0,8613.0,8341.0,Myitkyina Township,97.390355,25.387488
27,ChaungGyi(W),3199.0,1575.0,1624.0,Tanintharyi Township,99.016256,12.084177
28,ChaungNge(W),2315.0,1171.0,1144.0,Tanintharyi Township,99.016256,12.084177
29,No(1)(W),3019.0,1451.0,1568.0,Kyunsu Township,98.513198,11.787821
30,No(1)(W),3019.0,1451.0,1568.0,Palaw Township,98.648224,12.969094
31,No(1)(W),3019.0,1451.0,1568.0,Palaw Township,98.622123,13.270975
32,No(1)(W),3004.0,1801.0,1203.0,Kyunsu Township,98.513198,11.787821
33,No(1)(W),3004.0,1801.0,1203.0,Palaw Township,98.648224,12.969094
34,No(1)(W),3004.0,1801.0,1203.0,Palaw Township,98.622123,13.270975
35,No(1)(W),6424.0,3192.0,3232.0,Kyunsu Township,98.513198,11.787821
36,No(1)(W),6424.0,3192.0,3232.0,Palaw Township,98.648224,12.969094
37,No(1)(W),6424.0,3192.0,3232.0,Palaw Township,98.622123,13.270975
38,No(2)(W),615.0,291.0,324.0,Kyunsu Township,98.513198,11.787821
39,No(2)(W),615.0,291.0,324.0,Palaw Township,98.648224,12.969094
40,No(2)(W),615.0,291.0,324.0,Palaw Township,98.622123,13.270975
41,No(2)(W),596.0,307.0,289.0,Kyunsu Township,98.513198,11.787821
42,No(2)(W),596.0,307.0,289.0,Palaw Township,98.648224,12.969094
