pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,mean_hhsize,hh_1,hh_2,hh_3,hh_4,hh_5,hh_6,hh_7,hh_8,hh_9
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,5,1771,4523,7356,9091,8578,6739,4869,4107,5557
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,5,933,2088,3043,3767,3886,3215,2320,1653,1955
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,5,25,29,36,43,29,45,34,23,21
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,6,214,638,1109,1421,1263,1127,924,750,1082
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,6,118,236,357,442,486,462,374,351,480
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,6,44,73,88,132,144,131,132,142,187
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,5,1777,3726,5793,7541,7058,5287,3419,2310,2711
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,5,1026,2265,3503,4532,4342,3374,2320,1614,1922
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,5,1926,4045,6477,7113,6100,4263,2866,2411,1431
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,5,916,2187,3689,4847,4473,3208,2000,1329,1512
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,5,496,1151,2396,3255,3181,2400,1536,1060,1146
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,5,652,1123,1908,2521,2258,1656,976,634,642
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,5,317,786,1529,2333,2185,1496,906,563,439
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,6,382,845,1247,1555,1714,1589,1317,1045,1049
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,5,30,53,65,72,60,78,41,38,42
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,5,76,195,263,290,265,231,176,122,101
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,7,14,43,67,157,221,289,290,351,279
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,6,34,83,118,156,189,191,160,126,155
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,5,1325,2737,4585,5393,4650,3318,1965,1293,1229
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,5,576,1167,2094,2703,2753,2304,1641,1097,1012
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5,409,639,847,956,929,746,558,503,323
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,5,91,149,212,253,232,188,131,97,53
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,4,99,256,396,428,394,231,122,72,83
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,5,226,563,783,784,692,568,473,348,296
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,4,63,136,274,281,251,133,93,41,30
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,5,5047,10398,15542,17524,14961,10575,6716,4293,4141
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,5,2712,5136,7829,9599,9045,7270,4787,3350,3392
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,5,763,1652,2798,3474,3296,2765,2013,1385,994
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,5,252,603,945,1095,1093,968,638,448,460
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,5,1870,5476,8215,8782,7198,5083,3095,2155,2142
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,5,2218,4822,7493,8907,7908,5654,3629,2502,2365
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,5,1804,4778,7692,9982,9003,6852,4541,3071,2845
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,5,696,1073,1477,1667,1605,1392,950,582,475
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,5,489,852,1127,1522,1653,1552,1157,850,580
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,5,819,1094,1211,1430,1526,1303,948,705,590
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,6,743,1298,1464,1669,1838,1845,1652,1662,2512
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,6,138,277,402,562,620,668,648,1014,612
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,5,694,1039,1059,1223,1215,1102,875,650,665
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,5,678,1161,1278,1411,1545,1377,1169,874,664
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,5,289,388,486,536,522,549,446,354,407
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,5,722,1934,2938,3422,3392,2875,1958,1303,972
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,4,2982,8178,13119,14919,10870,6840,3932,2380,1923
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,4,1358,3162,5504,5866,4263,2576,1391,739,445
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,4,1340,3084,4845,5478,4107,2600,1429,838,541
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,5,2302,6472,11259,12688,9689,6355,3749,2449,2334
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,4,1233,3410,6447,7562,5987,3733,2226,1173,853
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,4,2090,6265,10504,10816,7718,4588,2497,1453,781
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,5,1787,5285,10231,13738,11643,8127,4895,3020,2600
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,5,639,1738,3313,4750,3883,2628,1746,1164,1002
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,4,1442,3390,5275,5747,4302,2744,1644,1044,785
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,5,1315,3253,5496,6555,5307,3614,2226,1400,1179
