Region, access_to_credit_agriculture Poor,access_to_credit_agriculture Non_Poor, access_to_credit_Non-Agricultural_businesses Poor,access_to_credit_Non-Agricultural_businesses Non_Poor,access_to_credit_Non-Agricultural_businesses Urban,access_to_credit_Non-Agricultural_businesses Rural,access_to_electricity Poor,access_to_electricity Non_Poor,access_to_electricity Urban,access_to_electricity Rural,access_to_improved_sanitation Poor,access_to_improved_sanitation Non_Poor,access_to_improved_sanitation Urban,access_to_improved_sanitation Rural,access_to_quality_roofing Poor,access_to_quality_roofing Non_Poor,access_to_quality_roofing Total,access_to_safe_drinking_water Poor,access_to_safe_drinking_water Non_Poor,access_to_safe_drinking_water Urban,access_to_safe_drinking_water Rural,average_Household_Size Poor,average_Household_Size Non_Poor,average_Land_Area_Owned Poor,average_Land_Area_Owned Non_Poor,demographic_dependency_ratio Poor,demographic_dependency_ratio Non_Poor,demographic_dependency_ratio Urban,demographic_dependency_ratio Rural,economic_dependency_ratio Poor,economic_dependency_ratio Non_Poor,economic_dependency_ratio Urban,economic_dependency_ratio Rural,Education Level of HouseHold Head never_attended_school,Education Level of HouseHold Head monastic_school,Education Level of HouseHold Head primary_school,Education Level of HouseHold Head middle_school,Education Level of HouseHold Head secondary_school,Education Level of HouseHold Head post_secondary_school,Female Headed HouseHolds Poor,Female Headed HouseHolds Non_Poor,Landless Rate In Agriculture Poor,Landless Rate In Agriculture Non_Poor,Poverty Transition Matrix Chronic_Poor, Poverty Transition Matrix Non_Poor,Poverty Transition Matrix Descents,Poverty Transition Matrix Escapes,Pcode
ayeyarwaddy,48.5,55.4,19.2,15.6,11.3,18.3,14.5,35.4,80.1,19.8,79.2,84.0,87.7,81.4,19.0,46.5,39.0,44.1,44.9,61.3,41.5,5.5,4.4,5.5,10.3,0.58,0.55,0.46,0.58,0.66,0.72,0.79,0.68,2.4,5.6,58.3,20.9,9.4,3.4,16.4,17.1,50.4,24.2,11.5,60.9,14.3,13.3,MMR017
bago,44.5,38.4,10.2,15.1,15.7,13.8,17.7,33.9,77.0,24.3,58.4,80.7,79.2,76.2,22.6,48.3,44.4,81.9,81.2,87.1,80.4,5.6,4.4,4.9,7.9,0.56,0.51,0.51,0.52,0.55,0.62,0.8,0.58,3.0,5.9,60.4,20.3,7.8,2.6,19.9,21.8,69.6,35.4,5.6,66.8,9.7,17.9,MMR111
chin,8.2,0.0,24.0,9.3,17.4,16.2,50.2,51.0,79.0,40.7,86.6,85.0,89.5,85.1,83.2,77.7,81.4,99.5,99.4,100.0,99.3,6.7,4.8,1.7,1.8,0.68,0.79,0.59,0.75,0.52,0.64,0.86,0.47,14.0,0.0,46.3,23.5,12.5,3.7,13.6,16.4,8.4,7.0,51.5,10.5,17.4,20.6,MMR004
kachin,28.5,24.4,9.2,8.7,7.2,10.0,28.2,62.0,77.4,45.4,81.5,84.6,79.3,85.4,36.1,67.8,59.9,80.7,92.9,95.9,87.0,6.7,5.5,4.2,6.9,0.53,0.63,0.57,0.61,0.75,0.81,0.95,0.74,18.5,7.9,35.7,23.4,10.4,4.1,27.9,24.0,21.4,15.0,12.5,55.1,8.9,23.6,MMR001
kayah,52.4,43.6,59.4,9.4,12.8,8.2,43.6,79.6,100.0,61.9,100.0,94.5,92.5,96.5,45.9,79.1,76.3,77.3,89.4,91.8,85.9,7.1,5.1,4.7,5.0,0.75,0.6,0.55,0.66,0.61,0.53,0.65,0.47,20.2,3.6,34.1,29.9,8.6,3.6,23.2,17.8,24.5,10.8,3.7,71.7,4.9,19.7,MMR002
kayin,12.8,10.6,34.1,12.7,4.5,21.2,45.6,44.1,93.0,34.8,77.8,79.9,83.2,78.8,71.4,68.3,68.7,77.8,77.2,80.3,76.7,7.1,5.4,3.7,4.9,0.58,0.64,0.45,0.67,0.56,0.69,0.66,0.66,10.8,8.2,49.9,20.8,8.2,2.2,24.5,21.5,15.0,11.0,1.9,75.6,13.0,9.5,MMR003
magway,41.5,33.2,16.7,12.5,8.6,15.0,18.5,35.1,89.4,24.4,71.9,78.3,89.1,75.3,10.6,43.2,35.7,64.4,61.9,85.3,60.2,5.6,4.5,3.7,5.8,0.57,0.51,0.48,0.53,0.46,0.49,0.79,0.46,4.2,12.2,59.3,15.6,6.1,2.5,20.1,21.8,33.4,19.4,11.3,50.8,13.3,24.7,MMR009
mon,21.3,13.9,28.1,10.6,15.6,11.1,62.7,75.1,80.8,71.7,79.2,88.6,88.2,86.8,37.9,66.2,62.3,65.2,82.8,82.1,79.4,6.1,5.0,5.6,8.7,0.38,0.53,0.46,0.51,0.68,0.76,0.79,0.73,6.9,6.4,47.3,22.8,12.4,4.1,19.6,16.1,49.9,20.1,4.5,74.8,9.0,11.7,MMR011
rakhine,26.5,28.1,22.7,16.1,16.7,18.1,7.4,37.4,76.7,11.5,49.0,58.4,86.4,45.9,5.0,28.1,19.6,42.6,54.9,73.7,43.2,6.9,5.2,4.2,4.6,0.62,0.6,0.39,0.67,1.17,1.03,1.08,1.09,16.7,14.4,37.0,17.5,10.7,3.7,18.8,20.9,34.0,17.8,17.0,47.0,19.8,16.2,MMR012
sagaing,25.0,32.6,1.3,7.9,7.0,7.3,35.5,52.1,86.1,43.8,75.8,85.0,85.2,83.3,24.0,47.7,44.7,64.9,74.2,78.6,71.8,6.2,5.1,5.6,8.0,0.64,0.51,0.47,0.54,0.52,0.57,0.73,0.54,3.2,11.8,59.6,15.7,6.4,3.2,22.3,21.2,30.3,12.8,3.1,70.3,7.5,19.1,MMR005
