,Region,Poor,Non_Poor,Urban,Rural
0,kachin,28.2,62,77.4,45.4
1,kayah,43.6,79.6,100,61.9
2,kayin,45.6,44.1,93,34.8
3,chin,50.2,51,79,40.7
4,sagaing,35.5,52.1,86.1,43.8
5,tanintharyi,32.7,64.3,81.7,47.7
6,bago,17.7,33.9,77,24.3
7,bago(e),26.5,39,80.1,29.1
8,bago(w),7,28.6,72.6,19.5
9,magwe,18.5,35.1,89.4,24.4
10,mandalay,25.6,59.5,90.5,36.8
11,mon,62.7,75.1,80.8,71.7
12,rakhine,7.4,37.4,76.7,11.5
13,yangon,55.3,88.9,95.5,53.9
14,shan,50.8,68.1,91.3,54
15,shan(s),43.7,66.3,90.1,50.1
16,shan(n),49.1,67.2,91.7,53.2
17,shan(e),69.1,80.5,95.9,70.2
18,ayeyarwaddy,14.5,35.4,80.1,19.8
