,Region,Poor,Non_Poor,Urban,Rural
0,kachin,81.5,84.6,79.3,85.4
1,kayah,100.0,94.5,92.5,96.5
2,kayin,77.8,79.9,83.2,78.8
3,chin,86.6,85.0,89.5,85.1
4,sagaing,75.8,85.0,85.2,83.3
5,tanintharyi,59.9,77.1,92.9,65.0
6,bago,58.4,80.7,79.2,76.2
7,-bago(e),76.6,85.1,83.7,83.3
8,-bago(w),29.3,75.4,71.1,67.8
9,magwe,71.9,78.3,89.1,75.3
10,mandalay,75.3,83.0,82.3,80.4
11,mon,79.2,88.6,88.2,86.8
12,rakhine,49.0,58.4,86.4,45.9
13,yangon,69.4,85.4,82.8,83.0
14,shan,81.1,80.1,85.8,78.8
15,-shan(s),87.5,83.5,82.8,85.2
16,-shan(n),80.4,73.7,87.1,73.2
17,-shan(e),71.1,88.7,92.9,76.5
18,ayeyarwaddy,79.2,84.0,87.7,81.4
