,Region,Poor,Non_Poor,Urban,Rural
0,kachin,80.7,92.9,95.9,87.0
1,kayah,77.3,89.4,91.8,85.9
2,kayin,77.8,77.2,80.3,76.7
3,chin,99.5,99.4,100.0,99.3
4,sagaing,64.9,74.2,78.6,71.8
5,tanintharyi,55.6,56.7,56.8,56.2
6,bago,81.9,81.2,87.1,80.4
7,bago(e),92.2,90.8,99.7,89.6
8,bago(w),65.3,69.8,64.6,69.6
9,magwe,64.4,61.9,85.3,60.2
10,mandalay,67.7,79.4,88.2,71.5
11,mon,65.2,82.8,82.1,79.4
12,rakhine,42.6,54.9,73.7,43.2
13,yangon,57.6,80.3,81.8,61.0
14,shan,81.3,84.0,91.2,80.6
15,shan(s),83.3,85.7,88.3,84.0
16,shan(n),76.8,79.2,93.0,74.3
17,shan(e),89.9,94.5,96.8,91.0
18,ayeyarwaddy,44.1,44.9,61.3,41.5
