,Region,Poor,Non_Poor,Urban,Rural
0,kachin,0.53,0.63,0.57,0.61
1,kayah,0.75,0.6,0.55,0.66
2,kayin,0.58,0.64,0.45,0.67
3,chin,0.68,0.79,0.59,0.75
4,sagaing,0.64,0.51,0.47,0.54
5,tanintharyi,0.62,0.59,0.57,0.6
6,bago,0.56,0.51,0.51,0.52
7,-bago(e),0.53,0.53,0.49,0.54
8,-bago(w),0.61,0.48,0.53,0.5
9,magwe,0.57,0.51,0.48,0.53
10,mandalay,0.53,0.51,0.46,0.54
11,mon,0.38,0.53,0.46,0.51
12,rakhine,0.62,0.6,0.39,0.67
13,yangon,0.5,0.46,0.45,0.49
14,shan,0.49,0.54,0.47,0.54
15,-shan(s),0.59,0.57,0.44,0.64
16,-shan(n),0.43,0.53,0.55,0.47
17,-shan(e),0.48,0.46,0.4,0.49
18,ayeyarwaddy,0.58,0.55,0.46,0.58
