,Region,Poor,Non_Poor,Urban,Rural
0,kachin,0.75,0.81,0.95,0.74
1,kayah,0.61,0.53,0.65,0.47
2,kayin,0.56,0.69,0.66,0.66
3,chin,0.52,0.64,0.86,0.47
4,sagaing,0.52,0.57,0.73,0.54
5,tanintharyi,0.73,0.77,0.89,0.72
6,bago,0.55,0.62,0.8,0.58
7,-bago(e),0.58,0.73,0.83,0.68
8,-bago(w),0.5,0.5,0.75,0.47
9,magwe,0.46,0.49,0.79,0.46
10,mandalay,0.5,0.66,0.83,0.54
11,mon,0.68,0.76,0.79,0.73
12,rakhine,1.17,1.03,1.08,1.09
13,yangon,0.89,0.96,1.01,0.78
14,shan,0.41,0.47,0.63,0.39
15,-shan(s),0.47,0.47,0.59,0.43
16,-shan(n),0.38,0.47,0.73,0.37
17,-shan(e),0.39,0.43,0.56,0.36
18,ayeyarwaddy,0.66,0.72,0.79,0.68
