pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,ownshp_t,ownshp_own,ownshp_rent,ownshp_free,ownshp_gov,ownshp_com,ownshp_oth
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,35343,10161,1905,4464,458,260
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,19706,1299,703,405,588,159
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,275,2,1,7,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,7578,403,91,430,19,7
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,3023,163,24,83,12,1
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,1048,3,6,7,7,2
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,35525,1685,900,1330,101,81
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,22110,1021,429,1216,71,51
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,29972,4550,911,386,525,288
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,20285,1683,759,1322,42,70
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,15232,432,555,344,10,48
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,10537,496,127,647,11,552
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,9143,256,100,270,7,778
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,9767,345,74,427,71,59
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,447,9,2,17,0,4
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,1512,53,33,110,4,7
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,1696,0,2,10,1,2
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,1147,16,15,21,6,7
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,20844,2184,888,2363,110,106
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,15347,14656,163,115,364,28,21
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5910,5534,43,52,267,4,10
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1406,1356,9,15,25,,1
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,2081,1654,103,34,286,3,1
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,4733,4240,128,58,280,19,8
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,1302,1116,11,55,103,8,9
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,89197,77599,5349,2021,2774,937,517
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,53120,50757,611,909,710,25,108
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,19140,17961,203,188,722,41,25
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,6502,5295,209,437,436,90,35
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,44016,27324,13209,1487,1252,536,208
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,45498,42222,1098,1072,862,90,154
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,50568,45293,3169,1070,432,141,463
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,9917,7264,1542,122,872,76,41
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,9782,8904,563,39,196,49,31
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,9626,7783,810,121,661,125,126
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,14683,13139,883,276,332,30,23
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,4941,4489,200,85,125,18,24
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,7524,392,84,426,23,73
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,9374,359,50,338,31,5
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,3493,222,40,166,26,30
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,18782,216,90,285,86,57
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,65143,56673,2745,2192,2993,291,249
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,25304,24233,345,443,228,22,33
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,24262,23135,222,690,94,5,116
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,57297,51272,1995,1810,1699,315,206
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,32624,31663,207,448,149,35,122
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,46712,45310,326,749,207,81,39
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,61326,58597,841,712,926,111,139
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,20863,20242,262,97,211,42,9
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,26373,25326,368,387,234,41,17
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,30345,29662,228,334,96,12,13
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,35937,35193,331,234,157,15,7
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,75962,64432,4219,2618,3691,577,425
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,28616,27891,227,325,105,7,61
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,35591,34273,295,622,357,2,42
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,23376,22386,192,599,152,22,25
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,31961,29264,1017,722,721,169,68
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,22243,456,183,292,40,16
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,26389,24797,645,637,135,128,47
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,18868,18339,212,77,198,18,24
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,31403,29441,780,280,713,123,66
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,14205,13553,178,64,359,31,20
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,21900,21406,204,74,200,6,10
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,72769,61080,7130,1391,2338,564,266
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,11735,10698,305,349,165,199,19
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,22058,21328,205,295,146,4,80
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,22591,18655,2767,500,427,165,77
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,10345,9547,252,108,389,21,28
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,20246,19479,303,126,269,55,14
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,7361,6496,241,133,407,27,57
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,35743,33563,1109,316,566,138,51
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,1877,25,9,48,6,1
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,8632,100,60,102,11,27
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,7665,29,12,101,4,29
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,28800,190,213,309,10,10
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,24778,447,386,230,602,24
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,31642,213,292,180,10,25
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,28499,173,310,188,24,29
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,23282,2459,1560,1462,263,107
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,23456,898,1067,199,70,45
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,20926,390,1125,301,89,43
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,26350,22554,1120,977,1059,441,199
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,54349,35333,11707,3847,2367,930,165
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,32988,24707,3034,3204,585,1324,134
