Longitude,Latitude,Ward/VillageTract,total_population,male_population,female_population,Township
97.390355,25.387488,AyeYar(W),3647,1694,1953,Myitkyina Township
97.390355,25.387488,ThiDar(W),4143,2094,2049,Myitkyina Township
97.390355,25.387488,YanGyiAung(W),5309,2430,2879,Myitkyina Township
97.390355,25.387488,DuKaHtaung(W),8888,3845,5043,Myitkyina Township
97.390355,25.387488,MyoMa(W),1369,657,712,Myitkyina Township
97.390355,25.387488,MinYat(W),931,421,510,Myitkyina Township
97.390355,25.387488,ShanSu(North)(W),1418,674,744,Myitkyina Township
97.390355,25.387488,ShanSu(South)(W),1366,664,702,Myitkyina Township
97.390355,25.387488,KachinSu(W),2267,1024,1243,Myitkyina Township
97.390355,25.387488,KyunPinThar(W),6106,2786,3320,Myitkyina Township
97.390355,25.387488,AyeZayDi(W),5004,2321,2683,Myitkyina Township
97.390355,25.387488,ShweNyaungPin(W),9491,4277,5214,Myitkyina Township
97.390355,25.387488,MyoThit(W),2067,990,1077,Myitkyina Township
97.390355,25.387488,KhayMarThiRi(W),7630,3626,4004,Myitkyina Township
97.390355,25.387488,YuZaNa(W),6460,3023,3437,Myitkyina Township
97.390355,25.387488,MyayMyint(W),5660,2686,2974,Myitkyina Township
97.390355,25.387488,ShweSet(W),9409,4581,4828,Myitkyina Township
97.390355,25.387488,ManKhein(W),9223,4599,4624,Myitkyina Township
97.390355,25.387488,TatKone(W),27354,12773,14581,Myitkyina Township
97.390355,25.387488,SiTarPu(W),19969,9249,10720,Myitkyina Township
97.390355,25.387488,RamPu(W),26197,12311,13886,Myitkyina Township
97.390355,25.387488,KyetPaungChan(W),5234,2553,2681,Myitkyina Township
97.390355,25.387488,MyoThitGyi(W),23760,11576,12184,Myitkyina Township
97.390355,25.387488,LelKone(W),23413,11918,11495,Myitkyina Township
97.390355,25.387488,ShweAik(W),1418,770,648,Myitkyina Township
97.390355,25.387488,ShwePyiThar(W),1012,490,522,Myitkyina Township
97.390355,25.387488,PanMaTi(W),16954,8613,8341,Myitkyina Township
99.016256,12.084177,ChaungGyi(W),3199,1575,1624,Tanintharyi Township
99.016256,12.084177,ChaungNge(W),2315,1171,1144,Tanintharyi Township
98.513198,11.787821,No(1)(W),3019,1451,1568,Kyunsu Township
98.648224,12.969094,No(1)(W),3019,1451,1568,Palaw Township
98.622123,13.270975,No(1)(W),3019,1451,1568,Palaw Township
98.513198,11.787821,No(1)(W),3004,1801,1203,Kyunsu Township
98.648224,12.969094,No(1)(W),3004,1801,1203,Palaw Township
98.622123,13.270975,No(1)(W),3004,1801,1203,Palaw Township
98.513198,11.787821,No(1)(W),6424,3192,3232,Kyunsu Township
98.648224,12.969094,No(1)(W),6424,3192,3232,Palaw Township
98.622123,13.270975,No(1)(W),6424,3192,3232,Palaw Township
98.513198,11.787821,No(2)(W),615,291,324,Kyunsu Township
98.648224,12.969094,No(2)(W),615,291,324,Palaw Township
98.622123,13.270975,No(2)(W),615,291,324,Palaw Township
98.513198,11.787821,No(2)(W),596,307,289,Kyunsu Township
98.648224,12.969094,No(2)(W),596,307,289,Palaw Township
98.622123,13.270975,No(2)(W),596,307,289,Palaw Township
98.513198,11.787821,No(2)(W),6462,3149,3313,Kyunsu Township
98.648224,12.969094,No(2)(W),6462,3149,3313,Palaw Township
98.622123,13.270975,No(2)(W),6462,3149,3313,Palaw Township
98.513198,11.787821,No(3)(W),598,358,240,Kyunsu Township
98.648224,12.969094,No(3)(W),598,358,240,Palaw Township
98.622123,13.270975,No(3)(W),598,358,240,Palaw Township
98.513198,11.787821,No(3)(W),1391,679,712,Kyunsu Township
98.648224,12.969094,No(3)(W),1391,679,712,Palaw Township
98.622123,13.270975,No(3)(W),1391,679,712,Palaw Township
98.513198,11.787821,No(3)(W),2142,969,1173,Kyunsu Township
98.648224,12.969094,No(3)(W),2142,969,1173,Palaw Township
98.622123,13.270975,No(3)(W),2142,969,1173,Palaw Township
98.513198,11.787821,No(4)(W),1944,964,980,Kyunsu Township
